name,url,description,test_type,duration,remote_support,adaptive_support
Global Skills Development Report,https://www.shl.com/solutions/products/individual-test-solutions/global-skills-development-report/,Provides insights into workforce capability and skill development across roles,Ability & Aptitude; Biodata & Situational Judgement; Competencies; Development & 360; Personality & Behavior,30,Yes,No
.NET MVC (New),https://www.shl.com/solutions/products/individual-test-solutions/net-mvc/,Assesses understanding of the .NET MVC framework and architecture,Knowledge & Skills,30,Yes,No
.NET MVVM (New),https://www.shl.com/solutions/products/individual-test-solutions/net-mvvm/,Evaluates knowledge of MVVM architectural pattern in .NET applications,Knowledge & Skills,30,Yes,No
.NET WCF (New),https://www.shl.com/solutions/products/individual-test-solutions/net-wcf/,Measures understanding of Windows Communication Foundation concepts,Knowledge & Skills,30,Yes,No
.NET WPF (New),https://www.shl.com/solutions/products/individual-test-solutions/net-wpf/,Assesses proficiency in Windows Presentation Foundation development,Knowledge & Skills,30,Yes,No
.NET XAML (New),https://www.shl.com/solutions/products/individual-test-solutions/net-xaml/,Evaluates understanding of XAML for UI design in .NET,Knowledge & Skills,30,Yes,No
Accounts Payable (New),https://www.shl.com/solutions/products/individual-test-solutions/accounts-payable/,Assesses knowledge of accounts payable processes and controls,Knowledge & Skills,30,Yes,No
Accounts Payable Simulation (New),https://www.shl.com/solutions/products/individual-test-solutions/accounts-payable-simulation/,Simulates real-world accounts payable job tasks,Simulations,30,Yes,No
Accounts Receivable (New),https://www.shl.com/solutions/products/individual-test-solutions/accounts-receivable/,Measures understanding of accounts receivable processes,Knowledge & Skills,30,Yes,No
Accounts Receivable Simulation (New),https://www.shl.com/solutions/products/individual-test-solutions/accounts-receivable-simulation/,Simulates accounts receivable operational tasks,Simulations,30,Yes,No
ADO.NET (New),https://www.shl.com/solutions/products/individual-test-solutions/ado-net/,Assesses knowledge of ADO.NET data access technologies,Knowledge & Skills,30,Yes,No
Agile Fundamentals,https://www.shl.com/solutions/products/individual-test-solutions/agile-fundamentals/,Evaluates understanding of Agile principles and methodologies,Knowledge & Skills,30,Yes,No
Business Analysis Fundamentals,https://www.shl.com/solutions/products/individual-test-solutions/business-analysis-fundamentals/,Assesses foundational business analysis concepts and techniques,Knowledge & Skills,30,Yes,No
Communication Skills Assessment,https://www.shl.com/solutions/products/individual-test-solutions/communication-skills/,Measures effectiveness of workplace communication behaviors,Personality & Behavior,30,Yes,No
Customer Service Simulation,https://www.shl.com/solutions/products/individual-test-solutions/customer-service-simulation/,Simulates customer service scenarios and decision-making,Simulations,30,Yes,No
Data Analysis Fundamentals,https://www.shl.com/solutions/products/individual-test-solutions/data-analysis-fundamentals/,Assesses understanding of data analysis concepts and interpretation,Knowledge & Skills,30,Yes,No
Decision Making Assessment,https://www.shl.com/solutions/products/individual-test-solutions/decision-making/,Evaluates decision-making and judgment capabilities,Ability & Aptitude,30,Yes,No
Leadership Potential Report,https://www.shl.com/solutions/products/individual-test-solutions/leadership-potential-report/,Provides insights into leadership behaviors and potential,Personality & Behavior; Competencies,30,Yes,No
Numerical Reasoning,https://www.shl.com/solutions/products/individual-test-solutions/numerical-reasoning/,Assesses numerical reasoning and quantitative problem-solving ability,Ability & Aptitude,30,Yes,Yes
Verbal Reasoning,https://www.shl.com/solutions/products/individual-test-solutions/verbal-reasoning/,Measures verbal reasoning and comprehension skills,Ability & Aptitude,30,Yes,Yes
Adobe Experience Manager (New),https://www.shl.com,Assesses knowledge of Adobe Experience Manager platform,Knowledge & Skills,30,Yes,No
Adobe Photoshop CC,https://www.shl.com,Evaluates proficiency in Adobe Photoshop CC tools and workflows,Knowledge & Skills,30,Yes,Yes
Aeronautical Engineering (New),https://www.shl.com,Assesses core aeronautical engineering concepts,Knowledge & Skills,30,Yes,No
Aerospace Engineering (New),https://www.shl.com,Measures aerospace engineering fundamentals,Knowledge & Skills,30,Yes,No
Agile Software Development,https://www.shl.com,Assesses agile software development principles and practices,Knowledge & Skills,30,Yes,No
